,video_id,video_title,video_date,view_count,like_count,comment_count
84,Ims5p6wjW9s,"Last To Take Hand Off Boat, Keeps It",2019-10-19 20:06:01+00:00,74906261,1415974,57382
85,anFxsa5jXrE,"I Searched 100 Dumpsters, Here&#39;s What I Found",2019-10-12 20:10:01+00:00,86540042,1518147,52027
86,QxGVgXf_LNk,"Going Through The Same Drive Thru 1,000 Times",2019-10-05 20:00:08+00:00,155291381,3478504,126596
87,al6130OD1Ck,"Donating $100,000 To Random Streamers",2019-09-28 20:29:58+00:00,38060811,1177443,41986
88,d1010B3sKNQ,Surviving 24 Hours Straight In A Rain Forest,2019-09-21 21:00:00+00:00,80305015,1747873,70927
89,NS3hse9ezik,"Last To Leave Ramen Noodle Pool Wins $20,000",2019-09-13 20:00:05+00:00,46574517,1096026,43492
90,npDey6_9YRs,"Anything You Can Carry, I&#39;ll Pay For #2",2019-09-06 20:00:00+00:00,51471169,1217669,33204
91,0NGWT9COcEI,"I Gave My Brother 24 Hours To Spend $100,000",2019-08-31 20:00:01+00:00,52082087,1637643,55643
92,3LLnjRLrvLU,I Opened A Free Car Dealership,2019-08-29 20:00:00+00:00,95721924,2824618,138281
93,bTrV5v7GLcQ,"Last To Leave Pool Of $20,000 Keeps It",2019-08-24 20:00:01+00:00,106304812,2230962,80233
94,lBYC4_Lccjw,Surviving 24 Hours On A Deserted Island,2019-08-22 20:00:07+00:00,117433583,2412083,75382
95,gL6iSCSHjco,"Last To Leave Roller Coaster Wins $20,000 - Challenge",2019-08-17 20:00:00+00:00,88097640,2044029,65173
96,UQtltNZ_pjs,I Won Every Prize At A Theme Park,2019-08-15 19:59:59+00:00,100085036,2022304,66254
97,0DaMUhgcAqo,Destroying My Friend&#39;s Car And Surprising Him With A New One,2019-08-10 20:00:00+00:00,76118893,2062733,61007
98,TOcGSwJBPMQ,I Spent 24 Hours Straight At Area 51,2019-08-02 21:00:01+00:00,84378763,2319522,91904
99,ws694xrKopA,"Can 50,000 Magnets Catch A Cannon Ball?",2019-07-20 20:00:02+00:00,44433312,1080778,42067
100,UtnsWzaoRtg,World&#39;s Largest Game Of Dodgeball,2019-07-12 20:05:00+00:00,51939884,1202141,57228
101,6wsFjjhZPJI,"Last To Leave Revolving Door Wins $50,000",2019-07-02 20:00:01+00:00,105511701,2666277,176288
102,Rmf6T_Ewt38,Tipping Waitresses With Real Gold Bars,2019-06-21 20:00:01+00:00,53771787,1404772,85462
103,n6qc4LHN2KQ,I Opened The World&#39;s First FREE Store,2019-06-15 20:00:00+00:00,59357217,1767484,76388
104,2eFSU7TFOnk,Spending 24 Hours On Top Of A Mountain,2019-06-13 20:00:01+00:00,113550246,2496565,109581
105,RCvnytndd9c,"Last To Leave VR Wins $20,000",2019-06-08 20:00:01+00:00,90250326,2077531,91489
106,AA-VpIj8F5Y,"Last To Stop Running Wins $20,000",2019-06-06 20:00:00+00:00,89048260,1938964,67270
107,YyhKdOCwD7s,24 Hours In The Most Haunted Place On Earth,2019-05-30 20:07:01+00:00,59116854,1911346,118773
